pageNumber,jobId,title,companyName,groupId,companyId,isTopGroup,tagsAndSkills,jobDescription,location,salaryLabel,currency,minimumSalary,maximumSalary,hideSalary,variablePercentage,minSalaryPerMonth,maxSalaryPerMonth,experienceText,minimumExperience,maximumExperience,footerPlaceholderLabel,createdDateISO,createdDateRaw,mode,board,vacancy,jobType,walkinJob,walkin_contactName,walkin_contactPhone,walkin_dailyTiming,walkin_venueAddress,walkin_startDate,walkin_endDate,companyApplyJob,companyApplyUrl,applyRedirectUrl,applyByTime,jdURL,staticUrl,ambitionBoxUrl,ambitionBoxReviewsCount,ambitionBoxRating,roleCategoryGid,todaysJob,jobAgentEligle,consultant,hiringFor,hideClientName,clientTitleString,brandedJDTemplateId,questionnaireIdPresent,exclusive,diversityTagText,logoPath,skillList
1,80725013102,Director Enterprise/Lead-Solution Architect - AI/GEN AI (22+ yrs),Epam Systems,4592441,6411,0,"Enterprise Architecture,Solution Architecting,generative ai,Chief Architect,Python,Architecting,Enterprise,Artificial Intelligence","<p> Experience Range (only)-<strong>23-29 yrs</strong></p><br /><p>Solution Architect/Enterprise Architect</p><p><strong>Location:</strong> India<br /> <strong>Company:</strong> EPAM Systems</p><p><strong>About EPAM</strong></p><p>EPAM is a leading global provider of digital transformation services, consulting, and engineering solutions. We work with Fortune 500 companies and global enterprises to deliver next-generation platforms and managed services. We are seeking a <strong>Lead Solution Architect (Director-level)</strong> who combines <strong>deep technical knowledge</strong>, <strong>leadership of large-scale managed services programs</strong>, and the ability to <strong>engage senior business stakeholders</strong>.</p><p>This role is ideal for a <strong>strategic thinker</strong> and <strong>hands-on technologist</strong> who can inspire teams, shape enterprise architectures, and drive business outcomes in complex global delivery environments.</p><p> </p><p><strong>Role Overview</strong></p><p>As a Lead Enterprise/Solution Architect at EPAM, you will play a dual role as a <strong>technology leader and client partner</strong>. You will lead solution strategy, oversee architecture governance, and manage large-scale <strong>managed services engagements</strong>. You will directly interact with <strong>CXO-level stakeholders</strong> to define transformation roadmaps while guiding and mentoring teams of architects and engineers to deliver excellence.</p><p> </p><p><strong>Key Responsibilities</strong></p><ul><li><strong>Enterprise Architecture & Strategy</strong></li><ul><li>Define and own the solution strategy for large-scale digital transformation and managed services programs.</li><li>Drive multi-year technology roadmaps, modern platform architectures, and operating models.</li><li>Ensure solutions are scalable, resilient, cost-efficient, and aligned with business objectives.</li></ul><li><strong>Managed Services Leadership</strong></li><ul><li>Architect and oversee <strong>large-scale managed services engagements</strong>, including application management, cloud operations, and platform engineering.</li><li>Define SLAs, governance models, performance monitoring, and continuous improvement frameworks.</li><li>Ensure operational excellence through automation, AI/GenAI, and DevOps-driven practices.</li></ul><li><strong>Hands-On Technical Leadership</strong></li><ul><li>Stay hands-on with architecture, proof-of-concepts, and technology exploration.</li><li>Lead technical due diligence, solution assessments, and modernization strategies.</li><li>Advocate for innovation, including cloud-native, microservices, event-driven architectures, and <strong>AI/GenAI-enabled solutions</strong>.</li></ul><li><strong>Client Advisory & Stakeholder Engagement</strong></li><ul><li>Act as a <strong>trusted advisor</strong> to <strong>CIOs, CTOs, and other CXO-level executives</strong>.</li><li>Bridge business strategy with technology execution, presenting clear roadmaps and business cases.</li><li>Lead pre-sales, RFP/RFI responses, and executive-level presentations to secure new business opportunities.</li></ul><li><strong>Team Leadership & Talent Development</strong></li><ul><li>Lead a community of solution architects, principal engineers, and delivery leads across multiple geographies.</li><li>Foster a culture of <strong>technical excellence, knowledge sharing, and continuous learning</strong>.</li><li>Mentor senior architects on architecture best practices, client engagement, and managed services solutioning.</li></ul></ul><p><strong>Required Skills & Qualifications</strong></p><ul><li>23+ years of experience in software engineering, enterprise architecture, and solution design.</li><li>Proven track record in <strong>leading large-scale managed services programs</strong> (multi-year, multi-million-dollar engagements).</li><li>Deep knowledge of <strong>cloud platforms</strong> (AWS, Azure, GCP), <strong>enterprise integration</strong>, and <strong>platform modernization</strong>.</li><li>Hands-on experience with at least one programming language (Java, .NET, JavaScript/TypeScript, or Python).</li><li>Strong expertise in <strong>service delivery models</strong>, <strong>SLAs/KPIs</strong>, and <strong>governance frameworks</strong>.</li><li>Experience with <strong>AI/GenAI integration</strong> in managed services (automation, predictive analytics, conversational AI, knowledge management).</li><li>Demonstrated ability to interact with and influence <strong>CXO-level executives</strong>.</li><li>Proven experience in IT consulting or global delivery organizations.</li><li>Excellent leadership, communication, and presentation skills.</li></ul><p> </p><p><strong>Good-to-Have Skills</strong></p><ul><li>Experience with <strong>AIOps, MLOps, and intelligent automation</strong>.</li><li>Knowledge of <strong>GenAI orchestration frameworks</strong> (LangChain, LlamaIndex, Azure OpenAI, AWS Bedrock).</li><li>Strong business acumen to participate in contract negotiations, service pricing, and P&L discussions.</li><li>Thought leadership (public speaking, whitepapers, or blogs in architecture and AI/GenAI).</li></ul><p> </p><p><strong>Why EPAM?</strong></p><ul><li>Lead <strong>strategic client partnerships</strong> at the intersection of technology, business, and operations.</li><li>Influence technology direction for some of the worlds largest enterprises.</li><li>Drive large-scale, multi-tower managed services programs with <strong>cutting-edge automation and GenAI</strong>.</li><li>Join a culture of innovation, collaboration, and continuous growth.</li></ul>","Hybrid - Hyderabad, Pune, Bengaluru",Not disclosed,INR,0,0,True,25,0.0,0.0,23-28 Yrs,23.0,28.0,8 Days Ago,2026-09-10T06:37:49.712Z,1789022269712.0,jp,1,4.0,,False,,,,,,,False,,,4:07 PM,https://www.naukri.com/job-listings-director-enterprise-lead-solution-architect-ai-gen-ai-22-yrs-epam-systems-hyderabad-pune-bengaluru-23-to-28-years-080725013102,epam-systems-jobs-careers-6411,https://www.ambitionbox.com/reviews/epam-systems-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,2256.0,3.6,1028.0,False,True,,,,,11492.0,True,,,https://img.naukimg.com/logo_images/groups/v1/4592441.gif,"['Enterprise Architecture', 'Solution Architecting', 'generative ai', 'Chief Architect', 'Python', 'Architecting', 'Enterprise', 'Artificial Intelligence']"
1166,110826923162,Director - Technology,Iris Software,2866966,604,0,"Ai,Enterprise Architecture,Automation,Financial Services,Architecture,Compliance,Design Patterns,Artificial Intelligence","Experience designing RAG pipelines,prompt engineering strategies,and multi-agent orchestration patterns.  <br><br>Experience working in financial services or other regulated industries preferred.  <br><br>Deep practical experience with LLM-based agent frameworks.  . 7+ years of experience in production AI / ML engineering,with at least 3 years in a technical lead capacity.",Noida,Not disclosed,INR,0,0,True,0,0.0,0.0,22-23 Yrs,22.0,23.0,30+ Days Ago,2026-08-11T10:21:52.977Z,1786443712977.0,jp,1,,,False,,,,,,,False,,,7:51 PM,https://www.naukri.com/job-listings-director-technology-iris-software-technologies-private-limited-noida-22-to-23-years-110826923162,iris-jobs-careers-604,https://www.ambitionbox.com/reviews/iris-software-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,2066.0,3.8,1157.0,False,True,,,,,10644.0,False,,,https://img.naukimg.com/logo_images/groups/v1/2866966.gif,"['Ai', 'Enterprise Architecture', 'Automation', 'Financial Services', 'Architecture', 'Compliance', 'Design Patterns', 'Artificial Intelligence']"
1444,210726500159,Associate Professor,Raisoni Group,2837466,4922086,0,"Computer science,cyber security,data science,Associate Professor,Artificial Intelligence,Teaching Faculty,Faculty Associate,Cyber",Develop and teach undergraduate and graduate courses in the relevant field.,Pune,Not disclosed,INR,0,0,True,0,0.0,0.0,22-27 Yrs,22.0,27.0,30+ Days Ago,2026-07-21T09:34:51.000Z,1784626491000.0,crawled,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=210726500159&logstr=srprestapi,https://currentopenings.raisoni.net/,7:04 PM,https://www.naukri.com/job-listings-associate-professor-raisoni-group-pune-22-to-27-years-210726500159,raisoni-group-jobs-careers-3555906,https://www.ambitionbox.com/reviews/raisoni-group-of-institutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,74.0,3.4,1165.0,False,False,,,,,,False,,,https://img.naukimg.com/logo_images/groups/v1/2837466.gif,"['Computer science', 'cyber security', 'data science', 'Associate Professor', 'Artificial Intelligence', 'Teaching Faculty', 'Faculty Associate', 'Cyber']"
1444,210726500158,Associate Professor,Raisoni Group,2837466,4922086,0,"Computer science,cyber security,data science,Associate Professor,Artificial Intelligence,Teaching Faculty,Faculty Associate,Science",Develop and teach undergraduate and graduate courses in the relevant field.,Nagpur,Not disclosed,INR,0,0,True,0,0.0,0.0,22-27 Yrs,22.0,27.0,30+ Days Ago,2026-07-21T09:34:51.000Z,1784626491000.0,crawled,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=210726500158&logstr=srprestapi,https://currentopenings.raisoni.net/,7:04 PM,https://www.naukri.com/job-listings-associate-professor-raisoni-group-nagpur-22-to-27-years-210726500158,raisoni-group-jobs-careers-3555906,https://www.ambitionbox.com/reviews/raisoni-group-of-institutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,74.0,3.4,1165.0,False,False,,,,,,False,,,https://img.naukimg.com/logo_images/groups/v1/2837466.gif,"['Computer science', 'cyber security', 'data science', 'Associate Professor', 'Artificial Intelligence', 'Teaching Faculty', 'Faculty Associate', 'Science']"
1454,200726503454,Associate Professor,Raisoni Group,2837466,4922086,0,"Computer science,cyber security,data science,Associate Professor,Artificial Intelligence,Teaching Faculty,Faculty Associate,Science",Develop and teach undergraduate and graduate courses in the relevant field.,Jalgaon,Not disclosed,INR,0,0,True,0,0.0,0.0,22-27 Yrs,22.0,27.0,30+ Days Ago,2026-07-21T09:40:13.000Z,1784626813000.0,crawled,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=200726503454&logstr=srprestapi,https://currentopenings.raisoni.net/,7:10 PM,https://www.naukri.com/job-listings-associate-professor-raisoni-group-jalgaon-22-to-27-years-200726503454,raisoni-group-jobs-careers-3555906,https://www.ambitionbox.com/reviews/raisoni-group-of-institutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,74.0,3.4,1165.0,False,False,,,,,,False,,,https://img.naukimg.com/logo_images/groups/v1/2837466.gif,"['Computer science', 'cyber security', 'data science', 'Associate Professor', 'Artificial Intelligence', 'Teaching Faculty', 'Faculty Associate', 'Science']"
1531,140526501568,Associate Professor,Raisoni Group,2837466,4922086,0,"cyber security,data science,Associate Professor,Artificial Intelligence,Teaching Faculty,Faculty Associate,Security,Cyber",. Institute . Raisoni Education . .,Amravati,Not disclosed,INR,0,0,True,0,0.0,0.0,22-27 Yrs,22.0,27.0,30+ Days Ago,2026-05-14T12:23:36.000Z,1778761416000.0,crawled,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=140526501568&logstr=srprestapi,https://currentopenings.raisoni.net/,9:53 PM,https://www.naukri.com/job-listings-associate-professor-raisoni-group-amravati-22-to-27-years-140526501568,raisoni-group-jobs-careers-3555906,https://www.ambitionbox.com/reviews/raisoni-group-of-institutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,74.0,3.4,1165.0,False,False,,,,,,False,,,https://img.naukimg.com/logo_images/groups/v1/2837466.gif,"['cyber security', 'data science', 'Associate Professor', 'Artificial Intelligence', 'Teaching Faculty', 'Faculty Associate', 'Security', 'Cyber']"
1531,140526501567,Associate Professor,Raisoni Group,2837466,4922086,0,"cyber security,data science,Associate Professor,Artificial Intelligence,Teaching Faculty,Faculty Associate,Science,Teaching",. Institute . Raisoni Education . .,Pune,Not disclosed,INR,0,0,True,0,0.0,0.0,22-27 Yrs,22.0,27.0,30+ Days Ago,2026-05-14T12:23:36.000Z,1778761416000.0,crawled,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=140526501567&logstr=srprestapi,https://currentopenings.raisoni.net/,9:53 PM,https://www.naukri.com/job-listings-associate-professor-raisoni-group-pune-22-to-27-years-140526501567,raisoni-group-jobs-careers-3555906,https://www.ambitionbox.com/reviews/raisoni-group-of-institutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,74.0,3.4,1165.0,False,False,,,,,,False,,,https://img.naukimg.com/logo_images/groups/v1/2837466.gif,"['cyber security', 'data science', 'Associate Professor', 'Artificial Intelligence', 'Teaching Faculty', 'Faculty Associate', 'Science', 'Teaching']"
1531,140526501566,Associate Professor,Raisoni Group,2837466,4922086,0,"cyber security,data science,Associate Professor,Artificial Intelligence,Teaching Faculty,Faculty Associate,Security,Cyber",. Institute . Raisoni Education . .,Nagpur,Not disclosed,INR,0,0,True,0,0.0,0.0,22-27 Yrs,22.0,27.0,30+ Days Ago,2026-05-14T12:23:36.000Z,1778761416000.0,crawled,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=140526501566&logstr=srprestapi,https://currentopenings.raisoni.net/,9:53 PM,https://www.naukri.com/job-listings-associate-professor-raisoni-group-nagpur-22-to-27-years-140526501566,raisoni-group-jobs-careers-3555906,https://www.ambitionbox.com/reviews/raisoni-group-of-institutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,74.0,3.4,1165.0,False,False,,,,,,False,,,https://img.naukimg.com/logo_images/groups/v1/2837466.gif,"['cyber security', 'data science', 'Associate Professor', 'Artificial Intelligence', 'Teaching Faculty', 'Faculty Associate', 'Security', 'Cyber']"
140,160926041464,GTM Leader - US Market,Aionos,10714824,124230000,0,"IT Services Sales,Cloud Data & AI Sales,Enterprise IT Sales,US Market Sales,New Logo Acquisition / Account Hunting,Digital Transformation Sales,Data,Enterprise","<p> </p><p><strong>Be an Entrepreneur Manager • Own a Market</strong></p><p><strong>GTM Leader • US Market • Extensive US Travel</strong></p><br /><p>Locations: Bengaluru • Hyderabad • Gurugram • Pune • Chennai</p><br /><p><strong>About AIONOS</strong></p><p>AIONOS (pronounced aye-yo-nos) is an AI-native technology company that builds and operates enterprise AI for industries. Founded in 2024 and headquartered in Singapore, AIONOS is a joint venture between InterGlobe Enterprises and Assago Group, bringing together deep enterprise technology expertise and sector-defining operational experience. With live operations across the USA, UK, Europe, the Middle East, Japan, APAC, ANZ, and India, the company deploys a workforce of 2,500+ AI engineers, domain specialists, and practitioners across Aviation, Travel & Hospitality, Logistics, Telecom, BFSI, and Healthcare. Powered by its proprietary AI enterprise stack, AIONOS delivers measurable business outcomes through an accountable, human-in-the-loop model that sits on top of existing enterprise investments.</p><br /><p>For more information, visit www.aionos.ai</p><br /><p><strong>Job Summary</strong></p><p>Own origination, pipeline, and revenue across Global Capability Centers. You bring your own accounts, we add a named list, and you run pursuits end to end while advising clients on setting up, scaling, and transforming their GCCs. You will sell AIONOS's full service line: Strategy, Consulting, Technology, Data and AI, Cloud, SAP, Security.</p><br /><p><strong>Key Responsibilities</strong></p><ul><li>Own revenue for your accounts. Build qualified pipeline and grow wallet share.</li><li>Carry and deliver the number. Inside sales supports  the top of the funnel, but attainment sits with you. Set account priorities, brief the inside sales executives, and source your own  meetings where coverage falls short.</li><li>Run large pursuits spanning multiple service lines, from qualification through commercial negotiation and closure.</li><li>Map GCCs to their US parent companies to find warm entry points.</li><li>Represent AIONOS at GCC forums, industry events,      and client roundtables, and feed market and competitive intelligence back      into growth strategy.</li><li>Work across Client Groups, Industry teams, and Global Sales on integrated account strategies.</li></ul><br /><p><strong>Must Have Skills</strong></p><p><strong>Experience</strong></p><ul><li>7 to 10 years of enterprise technology consulting or sales experience, selling Digital, Cloud, Data and AI, or large transformation programmes into Travel, Transport, Logistics, BFSI, or Telecom clients.</li><li>A live rolodex inside existing GCCs in these verticals. You should be able to open doors in weeks, not quarters.</li><li>Deals run end to end: account mining, pipeline creation, CXO relationships, commercial negotiation.</li></ul><p> </p><p><strong>Hunting and demand generation</strong></p><ul><li>Hardcore outbound to US and India enterprise  buyers, including cold outreach and meetings you sourced yourself. Be  ready to walk us through your prospecting method and how many connects      became meetings.</li><li>Able to direct inside sales effort with sharp targeting, clear messaging, and tight follow up, while still picking up      the phone yourself.</li><li>A quota you have carried and hit. Bring the target,  the achievement, the percentage, and the period for your last two or three  cycles. We will ask.</li></ul><br /><p><strong>Thinking and initiative</strong></p><ul><li>Finds ways into accounts that others miss, and builds an offer around the client's real problem instead of a standard  service pitch.</li><li>Works without being managed. Reads account data, org charts, and market signals to decide where to spend time, then tells a  story good enough to get a meeting. We are screening for initiative and  follow through, not credentials.</li></ul><br /><p><strong>Travel</strong></p><ul><li>Roughly half the year in the US, on a cycle of 15  days in India followed by 15 days in the US. Valid passport required, US  visa preferred.</li></ul><br /><p><strong>Good to Have</strong></p><ul><li>Background at a Tier 1 consulting or systems  integration firm.</li><li>Existing relationships with NASSCOM chapter heads  or the GCC Council.</li><li>Experience managing strategic global accounts and complex pursuits with many stakeholders.</li><li>Sales certification covering the full sales motion  from prospecting to closing. Salesforce Certified Agentforce Sales Foundations preferred. HubSpot Academy or LinkedIn Learning equivalents  also relevant.</li></ul><br /><p><strong>Education</strong></p><p>Bachelor's degree required. MBA or PGDM from a premier institute preferred.</p><br /><p> </p>","Hyderabad, Gurugram, Bengaluru",Not disclosed,INR,0,0,True,0,0.0,0.0,25-31 Yrs,25.0,31.0,1 Day Ago,2026-09-16T11:53:54.145Z,1789559634145.0,jp,1,,,False,,,,,,,False,,,9:23 PM,https://www.naukri.com/job-listings-gtm-leader-us-market-aionos-hyderabad-gurugram-bengaluru-25-to-31-years-160926041464,aionos-jobs-careers-124230000,https://www.ambitionbox.com/reviews/aionos-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,106.0,2.6,1045.0,False,True,,,,,,True,,,https://img.naukimg.com/logo_images/groups/v1/10714824.gif,"['IT Services Sales', 'Cloud Data & AI Sales', 'Enterprise IT Sales', 'US Market Sales', 'New Logo Acquisition / Account Hunting', 'Digital Transformation Sales', 'Data', 'Enterprise']"
371,100926926532,Program & Project Management Services Manager,Fujitsu,238374,65013,0,"Agile,Management Reporting,Automation,Financial Analysis,Compliance,Market Trends,Ai,Automation Solutions","Significant experience in managed services operations,with a track record of implementing standardized processes and delivery excellence.  . Industry Knowledge: Deep understanding of Program Project Management Services related industry,including the latest trends,challenges,and opportunities.  . Certifications: preferred,but non-mandatory certifications,i.e","Noida, Chennai, Bengaluru",Not disclosed,INR,0,0,True,0,0.0,0.0,22-25 Yrs,22.0,25.0,7 Days Ago,2026-09-10T11:08:45.408Z,1789038525408.0,jp,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=100926926532&logstr=srprestapi,https://www.jobs.global.fujitsu.com/job/Program-&amp;-Project-Management-Services-Manager/8820-en_US?utm_source=Naukri,8:38 PM,https://www.naukri.com/job-listings-program-project-management-services-manager-fujitsu-consulting-india-pvt-ltd-noida-chennai-bengaluru-22-to-25-years-100926926532,fujitsu-jobs-careers-65013,https://www.ambitionbox.com/reviews/fujitsu-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3169.0,3.8,1061.0,False,False,,,,,10032.0,False,,,https://img.naukimg.com/logo_images/groups/v1/238374.gif,"['Agile', 'Management Reporting', 'Automation', 'Financial Analysis', 'Compliance', 'Market Trends', 'Ai', 'Automation Solutions']"
